bankName,cardName,imgUrl,benefit,type,rotate,position
신한카드,신한카드 RPM+ Platinum#,https://d1c5n4ri2guedi.cloudfront.net/card/16/card_img/28929/16card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
우리카드,카드의정석 I&U+,https://d1c5n4ri2guedi.cloudfront.net/card/2688/card_img/33240/2688card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
롯데카드,힐튼 아너스 아멕스 프리미엄,https://d1c5n4ri2guedi.cloudfront.net/card/2786/card_img/38997/2786card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
NH농협카드,올바른 NEW HAVE카드,https://d1c5n4ri2guedi.cloudfront.net/card/635/card_img/28872/635card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,90,center
신한카드,신한카드 The CLASSIC+,https://d1c5n4ri2guedi.cloudfront.net/card/15/card_img/20097/15card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,90,center
신한카드,알리익스프레스 신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/2831/card_img/40882/2831card.jpg,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
삼성카드,국민행복 삼성카드 V2,https://d1c5n4ri2guedi.cloudfront.net/card/718/card_img/28063/718card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,90,center
롯데카드,LOCA Professional,https://d1c5n4ri2guedi.cloudfront.net/card/2636/card_img/31863/2636card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
롯데카드,롯데 국민행복카드,https://d1c5n4ri2guedi.cloudfront.net/card/455/card_img/20971/455card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,90,center
케이뱅크,ONE 체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/2749/card_img/48762/2749card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,0,center
KB국민카드,KB Youth Club 체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/2929/card_img/45849/2929card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,0,center
KB국민카드,노리2 체크카드(KB Pay),https://d1c5n4ri2guedi.cloudfront.net/card/2422/card_img/27141/2422card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,0,center
